Categoria,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
circle,0.00657763,0.0115697,0.0114154,0.0155737,0.0106142,0.0189642,0.00868144,0.00980561,0.0219172,0.00813896,0.00888947,0.0245312,0.00692671,0.00747512,0.00782879,0.0268666,0.00443279,0.00654953,0.00661551,0.0289643,0.00299635,0.00253842,0.00538912,0.00528157,0.0308543
circle,0.0321343,0.0525965,0.0363675,0.0663333,0.0181681,0.0758493,0.0121137,0.00925721,0.0826452,0.0196298,0.020926,0.0876464,0.0149812,0.0187954,0.0336258,0.0914368,0.00787776,0.0132509,0.0442896,0.0943929,0.0110921,0.00948508,0.00865211,0.0529622,0.0967609
circle,0.000153686,0.000313532,0.000953649,0.000555536,0.00142251,0.000833365,0.00157268,0.00183326,0.00111683,0.00146534,0.00203943,0.00138719,0.000661862,0.000852746,0.00205627,0.00163534,0.00153446,0.000820916,0.00193163,0.0018578,0.0030302,0.00254005,0.00161785,0.00171727,0.00205424
circle,0.0608184,0.0959416,0.0553992,0.117593,0.0298782,0.131736,0.0364262,0.041023,0.141462,0.0303215,0.0615735,0.148445,0.0111669,0.0153623,0.0791136,0.153632,0.0217864,0.0180482,0.0931581,0.157589,0.0174208,0.0227154,0.0349299,0.104483,0.160668
circle,0.154807,0.20291,0.0566343,0.224657,0.119719,0.236314,0.0236699,0.162424,0.243078,0.0555921,0.190785,0.247125,0.00882592,0.093032,0.211187,0.249528,0.0608437,0.118204,0.226673,0.250875,0.0336179,0.102096,0.136644,0.238872,0.251511
circle,0.0125727,0.0230588,0.0269256,0.0323173,0.0290594,0.0404282,0.0247153,0.0284478,0.0474973,0.0168935,0.0257991,0.0536372,0.0108864,0.0110179,0.0218556,0.0589611,0.0170383,0.0122038,0.0174491,0.0635756,0.0199788,0.0220589,0.0175874,0.013696,0.0675769
circle,0.000919339,0.00248502,0.00636107,0.00430905,0.00836824,0.00605906,0.00709329,0.00894956,0.00762353,0.00779497,0.00886118,0.00899048,0.0124177,0.0116966,0.00895166,0.0101874,0.0151175,0.0156361,0.00973114,0.0112521,0.0132288,0.0144158,0.0184001,0.0111907,0.01222
circle,0.0227206,0.038866,0.0322344,0.0501338,0.0191379,0.057954,0.0106441,0.00750439,0.0632845,0.0261869,0.0160541,0.0668119,0.0330622,0.0351506,0.0302222,0.0690375,0.0289095,0.0371179,0.0432763,0.0703288,0.0149213,0.0185429,0.0336099,0.0545253,0.0709563
circle,0.0660645,0.0970874,0.0347817,0.113874,0.0321639,0.124166,0.0314611,0.0560624,0.131122,0.00616865,0.0737005,0.136158,0.018469,0.020359,0.0861985,0.139979,0.0151085,0.0412367,0.0954919,0.142973,0.0143241,0.0118758,0.0571146,0.102761,0.145375
circle,0.0558609,0.0833551,0.0321586,0.0985541,0.0226968,0.107984,0.0274154,0.0433298,0.114415,0.00804455,0.0592607,0.119116,0.0166911,0.0146266,0.0706474,0.122726,0.0145472,0.0324077,0.0791102,0.125597,0.00889252,0.00644459,0.0462247,0.0856912,0.127938
